Pair_ID,Drug,Active,DrugBank_ID,PubChem_CID,OrigYear,NewIndication,MONDO_ID,MeSH_ID,DOID_ID,Agencies,TA,TA_simplified,StrictRepurposing,Drug_Pre2023,YearSet,ID_Flag,key,in_final,status
242,Iclusig,ponatinib,DB08901,24826799,2013,"Ph+ ALL frontline (EMA May 2026, 2nd)",MONDO:0004967,D054198,DOID:9952,EMA,Oncology,Oncology,True,True,2024-2026,complete,DB08901|DOID:9952,False,dropped
243,Maviret,glecaprevir/pibrentasvir,"DB13879,DB13878","66828839,58031952",2017,"HCV pediatric extension (EMA May 2026, TBD)",MONDO:0007256,D006528,DOID:684,EMA,Infectious,Infectious,True,True,2024-2026,complete,"DB13879,DB13878|DOID:684",False,dropped
244,Tremfya,guselkumab,DB11834,,2019,"Crohn's disease (moderate-severe, refractory)",MONDO:0005011,D003424,DOID:8778,PMDA,Immunology/GI,Immunology,True,True,2024-2026,missing_PubChem,DB11834|DOID:8778,True,kept
245,Alecensa,alectinib,DB11363,49806720,2015,"ALK+ solid tumors (tissue-agnostic, world-first)",MONDO:0004198,D066066,DOID:7360,PMDA,Oncology,Oncology,True,True,2024-2026,complete,DB11363|DOID:7360,True,kept
246,Lunsumio,mosunetuzumab,,,2022,R/R LBCL + FL (new dosage),MONDO:0968974,D016403,DOID:0081452,PMDA,Oncology,Oncology,True,True,2024-2026,missing_DrugBank|missing_PubChem,nan|DOID:0081452,False,dropped
247,Effexor SR,venlafaxine,DB00285,5656,1994,Generalized anxiety disorder (first GAD drug in Japan),MONDO:0001942,D000098647,DOID:14320,PMDA,CNS/Psychiatry,CNS,True,True,2024-2026,complete,DB00285|DOID:14320,False,dropped
248,Eylea 8mg,aflibercept 8mg,DB08885,,2012,Retinal vein occlusion (new high-dose formulation),MONDO:0006951,D012170,DOID:1727,PMDA,Ophthalmology,Ophthalmology,True,True,2024-2026,missing_PubChem,DB08885|DOID:1727,False,dropped
249,Tezspire,tezepelumab,DB15090,,2021,CRSwNP (eosinophilic chronic rhinosinusitis with nasal polyps),MONDO:0006031,D012852,DOID:0110597,PMDA,Immunology/Respiratory,Immunology,True,True,2024-2026,missing_PubChem,DB15090|DOID:0110597,True,kept
250,Pemafibrate ER,pemafibrate,DB15212,11526038,2017,LDL-C elevation in statin-intolerant dyslipidemia,MONDO:0015905,D050171,DOID:3146,PMDA,Cardiovascular/Metabolic,Cardiovascular,True,True,2024-2026,complete,DB15212|DOID:3146,True,kept
251,Ilaris,canakinumab,DB06168,,2009,Schnitzler syndrome (Japan),MONDO:0018304,D019873,DOID:4371,PMDA,Immunology/Rare,Immunology,True,True,2024-2026,missing_PubChem,DB06168|DOID:4371,True,kept
252,Fibrinogen HT,fibrinogen,DB09222,,1996,Acquired hypofibrinogenemia in cardiovascular surgery,MONDO:0015096,,DOID:2219,PMDA,Hematology,Hematology,True,True,2024-2026,missing_PubChem|missing_MeSH,DB09222|DOID:2219,True,kept
253,Rysefio,ruseogliflozin,,,2014,T2D pediatric dosage addition,MONDO:0005148,D003924,DOID:9352,PMDA,Metabolic,Metabolic,False,True,2024-2026,missing_DrugBank|missing_PubChem,nan|DOID:9352,False,dropped
